position,docid,date,court,title
932,26099329,2023-09-01,Himachal Pradesh High Court,"State Of Himachal Pradesh vs Ved Prakash & Ors on 1 September, 2023"
933,70745587,2023-01-25,Delhi High Court,"Minor R Thr Mother H vs State Of Nct Of Delhi & Anr. on 25 January, 2023"
934,6051861,2021-12-24,Delhi High Court,"Sandeep Aggarwal vs Priyanka Agarwal on 24 December, 2021"
935,9711210,2019-04-10,Delhi High Court,"State Of Nct Of Delhi vs Jeevan Singh on 10 April, 2019"
936,58498972,2017-11-08,Allahabad High Court,"Kallu Singh vs State Of U.P. on 8 November, 2017"
937,30730099,2009-10-30,Calcutta High Court (Appellete Side),"Sri Amar Kumar Barik & Ors vs National Instruments Limited & Ors on 30 October, 2009"
938,616058,2005-07-13,Kerala High Court,"Commissioner Of Income Tax And Anr. vs Dr. C. Balakrishnan Nair And Anr. on 13 July, 2005"
939,530064,2005-07-13,Kerala High Court,"Cit vs Dr. C. Balakrishnan Nair on 13 July, 2005"
940,250426,1994-07-20,Madras High Court,"D. Murugesan vs The Hon'Ble Speaker (Thiru Sedapatti R. ... on 20 July, 1994"
941,75098962,2021-01-08,Madras High Court,"Mohan C.Lazarus vs The Regional Passport Officer on 8 January, 2021"
942,233844,2005-05-06,Gauhati High Court,"State Of Mizoram vs Zoduhliana on 6 May, 2005"
943,134358850,2017-04-26,Patna High Court,"Indu Devi vs The State Of Bihar & Ors on 26 April, 2017"
944,51109,2011-04-01,Madras High Court,"K.Manivannan vs Election Commission Of India on 1 April, 2011"
945,22235842,2022-12-20,Allahabad High Court,"Balkaran Das Gupta vs Union Of India Thru. Secy. Ministry Of ... on 20 December, 2022"
946,47546801,2019-12-05,Bombay High Court,"Jasmine Anwar Kezhakekekara vs State Of Maharashtra Through Prin. ... on 5 December, 2019"
947,103658543,2020-02-25,Bombay High Court,"Miss \""X\"" Through Her Natural And Legal ... vs State Of Maharashtra Through The Prin. ... on 25 February, 2020"
948,60430825,2020-07-16,Income Tax Appellate Tribunal - Mumbai,"Mrs. Renu Tikamdas Tharani, Mumbai vs Dcit (It)-4(2)(1), Mumbai on 16 July, 2020"
949,181053863,2022-05-30,Central Information Commission,"Padmini Vora vs Reserve Bank Of India on 30 May, 2022"
950,174293508,2022-03-23,Karnataka High Court,"Xxxxx @ Xxxxx vs State Of Karnataka on 23 March, 2022"
951,116865280,2017-09-12,Madras High Court,"Nakkheeran Publications vs The 292Nd Guru Maha Sannidhanam on 12 September, 2017"
952,45469540,2017-05-03,Central Information Commission,"Subhash Chandra Agrawal vs Ministry Of Law & Justice on 3 May, 2017"
953,42810882,1800-01-01,Law Commission Report,200Th Report On Trial By Media Free Speech And Fair Trial Under Criminal Procedure ...
954,173069994,2016-05-30,Punjab-Haryana High Court,"R And Anr vs State Of Haryana & Ors on 30 May, 2016"
955,47531794,2018-09-06,Madras High Court,"K.Arumugam vs The Secretary on 6 September, 2018"
956,77870826,2018-08-29,Madras High Court,"V.K.Jayarathinam vs The Secretary on 29 August, 2018"
957,5078923,2013-02-11,Delhi District Court,"State vs Deepak Dogra. -:: Page 1 Of 55 ::- on 11 February, 2013"
958,895370,1999-10-27,Bombay High Court,"In The Matter Of Manuel Theodore D'Souza vs Unknown on 27 October, 1999"
959,56365961,2021-07-05,Delhi High Court,"M/S Delhi Chemical And Pharmaceutical ... vs Himgiri Realtors Pvt. Ltd. & Anr. on 5 July, 2021"
960,1726645,1800-01-01,Allahabad High Court,Whether The Building In Question ... vs State
961,148507646,2019-08-02,Allahabad High Court,"Sanjay vs State Of U.P. on 2 August, 2019"
962,79815961,2013-04-17,Madras High Court,"The Registrar General vs K.Elango on 17 April, 2013"
963,429667,2004-11-30,Andhra HC (Pre-Telangana),"G. Dinesh Kumar And Ors. vs Vice Chancellor, J.N.T.U. And Anr. on 30 November, 2004"
964,156331215,2015-04-16,Gujarat High Court,"Ashaben W/O Dineshbhai Jasubhai ... vs State Of Gujarat & 2 on 16 April, 2015"
965,1480636,1999-07-12,Kerala High Court,"K. Ramakrishnan And Anr. vs State Of Kerala And Ors. on 12 July, 1999"
966,94273519,2021-03-15,Kerala High Court,"Hina Haneefa @Muhammed Ashif Ali N vs State Of Kerala on 15 March, 2021"
967,1063185,2007-07-02,Madras High Court,"Murugesan Alias Abdullah vs The State Represented By on 2 July, 2007"
968,137753759,2024-10-03,Supreme Court of India,"Sukanya Shantha vs Union Of India on 3 October, 2024"
969,6399590,2024-10-18,Supreme Court of India,"Society For Enlightenment And ... vs Union Of India on 18 October, 2024"
970,158218833,2025-03-03,Supreme Court of India,"In Re Recruitment Of Visually Impaired ... vs The Registrar General The High Court Of ... on 3 March, 2025"
971,169417967,2023-11-06,Supreme Court of India,"Union Of India vs Dilip Paul on 6 November, 2023"
972,79148490,2023-10-19,Supreme Court of India,"Indrakunwar vs The State Of Chhattisgarh on 19 October, 2023"
973,196668829,2025-09-12,Supreme Court of India,"M.S. Patter vs State Of Nct Of Delhi on 12 September, 2025"
974,122279170,2024-04-29,Supreme Court of India,"A (Mother Of X) vs State Of Maharashtra on 29 April, 2024"
975,85121834,2025-06-09,Supreme Court of India,"Amlesh Kumar vs The State Of Bihar on 9 June, 2025"
976,81882321,2023-01-31,Supreme Court of India,"Joseph Shine vs Union Of India Secretary on 31 January, 2023"
977,39678569,2025-02-19,Supreme Court of India,"Maatr Sparsh An Initiative By Avyaan ... vs Union Of India on 19 February, 2025"
978,180506826,2023-11-20,Madras High Court,"The Tamil Nadu Public Service ... vs U.Kaviyarasan on 20 November, 2023"
979,43130041,2012-07-23,Rajasthan High Court - Jaipur,"Kishore Rungta vs State Of Raj on 23 July, 2012"
980,73377091,2023-11-20,Madras High Court,"The Tamil Nadu Public Service ... vs U.Kaviyarasan on 20 November, 2023"
981,189756307,2023-11-17,Punjab-Haryana High Court,"Imt Industrial Association And Another vs State Of Haryana And Another on 17 November, 2023"
982,124936391,2021-10-22,Allahabad High Court,"Najakat Ali vs State Of U.P. And 4 Others on 22 October, 2021"
983,123675669,2023-07-20,Delhi High Court,"Naresh Sharma vs Union Of India & Ors. on 20 July, 2023"
984,196316135,2023-02-04,Patna High Court,"Abhijeet Kumar Pandey vs State Of Bihar on 4 February, 2023"
985,125128399,2015-12-04,Himachal Pradesh High Court,"Court On Its Own Motion vs Kuldeep Chauhan on 4 December, 2015"
986,156969166,2025-08-25,Bombay High Court,"Shobha G.Bagwe vs Air India Ltd.And Anr. on 25 August, 2025"
987,148918975,2025-08-25,Bombay High Court,"M.Yogeshwar Raj vs Air India Ltd. on 25 August, 2025"
988,132802082,2025-08-25,Bombay High Court,"V. Pichumani And Ors vs Air India Ltd And Anr on 25 August, 2025"
989,63123918,2025-08-25,Bombay High Court,"Yogeshwar Raj vs Air India Ltd. And Ors. on 25 August, 2025"
990,21873934,2025-06-03,Madras High Court,"Play Games 24X7 Private Limited vs State Of Tamil Nadu on 3 June, 2025"
991,22185559,2024-07-22,Delhi High Court,"Commissioner Of Police And Anr vs Ravina Yadav And Anr on 22 July, 2024"
992,73595643,2024-05-31,Delhi High Court,"Mahaveer Singhvi vs Hindustan Times Ltd. And Ors. on 31 May, 2024"
993,15250339,2024-05-31,Delhi High Court,"Mahaveer Singhvi vs Hindustan Times Limited And Others on 31 May, 2024"
994,67983953,2023-10-19,Gujarat High Court,"Jahirmiya Rehamumiya Malek vs State Of Gujarat on 19 October, 2023"
995,40505965,2024-05-15,Delhi High Court,"Rachita Francis Xavier vs Union Of India & Ors on 15 May, 2024"
996,97598193,2023-05-19,Patna High Court,"Geetanjali vs The State Of Bihar on 19 May, 2023"
997,26077887,2023-05-19,Patna High Court,"Dhananjay Seth vs The Union Of India Through Secretary on 19 May, 2023"
998,74398840,2023-05-19,Patna High Court,"Mr. Ram Ayodhya Singh vs The State Of Bihar on 19 May, 2023"
999,198014995,2023-05-30,Karnataka High Court,"Rangaraju @ Vajapeyi vs State Of Karnataka on 30 May, 2023"
1000,6776225,2023-05-19,Patna High Court,"Janam Jay Kumar vs Union Of India on 19 May, 2023"
